problem,language,path,avg_duration_sec,avg_pkg_joules,avg_dram_joules,error
335__self-crossing,cpp,new_transpiled_solutions/335__self-crossing/cpp/self-crossing_benchmark.cpp,0.0024269580841064452,0.0406616,0.0034974999999999997,
335__self-crossing,python2,new_transpiled_solutions/335__self-crossing/cpp/self-crossing_with_tests.py,,,,"Command '['python2', 'new_transpiled_solutions/335__self-crossing/cpp/self-crossing_with_tests.py']' returned non-zero exit status 1."
352__data-stream-as-disjoint-intervals,cpp,new_transpiled_solutions/352__data-stream-as-disjoint-intervals/cpp/data-stream-as-disjoint-intervals_benchmark.cpp,0.005472445487976074,0.0930603,0.0087217,
352__data-stream-as-disjoint-intervals,python2,new_transpiled_solutions/352__data-stream-as-disjoint-intervals/cpp/data-stream-as-disjoint-intervals_with_tests.py,,,,"Command '['python2', 'new_transpiled_solutions/352__data-stream-as-disjoint-intervals/cpp/data-stream-as-disjoint-intervals_with_tests.py']' returned non-zero exit status 1."
354__russian-doll-envelopes,cpp,new_transpiled_solutions/354__russian-doll-envelopes/cpp/russian-doll-envelopes_benchmark.cpp,0.04105374813079834,0.7115949,0.0370421,
354__russian-doll-envelopes,python2,new_transpiled_solutions/354__russian-doll-envelopes/cpp/russian-doll-envelopes_with_tests.py,0.469900918006897,7.4398615,0.1864987,
391__perfect-rectangle,cpp,new_transpiled_solutions/391__perfect-rectangle/cpp/perfect-rectangle_benchmark.cpp,0.008609938621520995,0.1331112,0.0109864,
391__perfect-rectangle,python2,new_transpiled_solutions/391__perfect-rectangle/cpp/perfect-rectangle_with_tests.py,0.09114890098571778,1.546999,0.059728699999999996,
403__frog-jump,cpp,new_transpiled_solutions/403__frog-jump/cpp/frog-jump_benchmark.cpp,0.01404259204864502,0.2261102,0.0164003,
403__frog-jump,python2,new_transpiled_solutions/403__frog-jump/cpp/frog-jump_with_tests.py,0.05251636505126953,0.9235938,0.0506164,
407__trapping-rain-water-ii,cpp,new_transpiled_solutions/407__trapping-rain-water-ii/cpp/trapping-rain-water-ii_benchmark.cpp,0.10588533878326416,1.6073323,0.0614194,
