problem,language,path,avg_duration_sec,avg_pkg_joules,avg_dram_joules,error
newv2_matched_kamyu_after,python2,newv2_matched_kamyu_after/maximum-product-of-subsequences-with-an-alternating-sum-equal-to-k/maximum-product-of-subsequences-with-an-alternating-sum-equal-to-k_benchmark_v2.py,0.1994274377822876,3.5946074,0.1499876,
newv2_CPP_CLEANED_AFTER,cpp,newv2_CPP_CLEANED_AFTER/maximum-sum-of-edge-values-in-a-graph/maximum-sum-of-edge-values-in-a-graph_solution_benchmark_v2.cpp,0.0115984439849853,0.1775753,0.0148925,
newv2_matched_kamyu_after,python2,newv2_matched_kamyu_after/maximum-sum-of-edge-values-in-a-graph/maximum-sum-of-edge-values-in-a-graph_benchmark_v2.py,0.1623272895812988,2.6778803,0.1091368,
newv2_CPP_CLEANED_AFTER,cpp,newv2_CPP_CLEANED_AFTER/merge-operations-for-minimum-travel-time/merge-operations-for-minimum-travel-time_solution_benchmark_v2.cpp,0.0142728090286254,0.1808041,0.0137695,
newv2_matched_kamyu_after,python2,newv2_matched_kamyu_after/merge-operations-for-minimum-travel-time/merge-operations-for-minimum-travel-time_benchmark_v2.py,0.3005614519119263,4.9189509,0.1529355,
newv2_CPP_CLEANED_AFTER,cpp,newv2_CPP_CLEANED_AFTER/minimum-cost-good-caption/minimum-cost-good-caption_solution_benchmark_v2.cpp,0.0304913759231567,0.393053,0.0253601,
newv2_matched_kamyu_after,python2,newv2_matched_kamyu_after/minimum-cost-good-caption/minimum-cost-good-caption_benchmark_v2.py,4.080641555786133,67.2362232,1.4194118,
newv2_CPP_CLEANED_AFTER,cpp,newv2_CPP_CLEANED_AFTER/minimum-cost-path-with-teleportations/minimum-cost-path-with-teleportations_solution_benchmark_v2.cpp,0.0065407514572143,0.0698851,0.0064149,
newv2_matched_kamyu_after,python2,newv2_matched_kamyu_after/minimum-cost-path-with-teleportations/minimum-cost-path-with-teleportations_benchmark_v2.py,0.4265445947647094,7.2090942,0.2065789999999999,
newv2_CPP_CLEANED_AFTER,cpp,newv2_CPP_CLEANED_AFTER/minimum-cost-to-divide-array-into-subarrays/minimum-cost-to-divide-array-into-subarrays_solution_benchmark_v2.cpp,0.0119921922683715,0.134521,0.0126465,
newv2_matched_kamyu_after,python2,newv2_matched_kamyu_after/minimum-cost-to-divide-array-into-subarrays/minimum-cost-to-divide-array-into-subarrays_benchmark_v2.py,1.7549198865890503,28.1130077,0.6365828,
newv2_CPP_CLEANED_AFTER,cpp,newv2_CPP_CLEANED_AFTER/minimum-increments-for-target-multiples-in-an-array/minimum-increments-for-target-multiples-in-an-array_solution_benchmark_v2.cpp,0.2517296075820923,2.9103382,0.1046689,
newv2_matched_kamyu_after,python2,newv2_matched_kamyu_after/minimum-increments-for-target-multiples-in-an-array/minimum-increments-for-target-multiples-in-an-array_benchmark_v2.py,8.796201467514038,134.3891945,2.9721298,
newv2_CPP_CLEANED_AFTER,cpp,newv2_CPP_CLEANED_AFTER/minimum-moves-to-reach-target-in-grid/minimum-moves-to-reach-target-in-grid_solution_benchmark_v2.cpp,0.0027519464492797,0.0339354,0.0035888,
newv2_matched_kamyu_after,python2,newv2_matched_kamyu_after/minimum-moves-to-reach-target-in-grid/minimum-moves-to-reach-target-in-grid_benchmark_v2.py,0.1119539976119995,1.6830339,0.0955562,
newv2_CPP_CLEANED_AFTER,cpp,newv2_CPP_CLEANED_AFTER/minimum-operations-to-make-array-elements-zero/minimum-operations-to-make-array-elements-zero_solution_benchmark_v2.cpp,0.0025476932525634,0.0283815,0.0032045,
newv2_matched_kamyu_after,python2,newv2_matched_kamyu_after/minimum-operations-to-make-array-elements-zero/minimum-operations-to-make-array-elements-zero_benchmark_v2.py,0.1267042398452758,1.9130811,0.0990172,
newv2_CPP_CLEANED_AFTER,cpp,newv2_CPP_CLEANED_AFTER/minimum-stability-factor-of-array/minimum-stability-factor-of-array_solution_benchmark_v2.cpp,0.0316306829452514,0.3738637,0.0253051,
newv2_matched_kamyu_after,python2,newv2_matched_kamyu_after/minimum-stability-factor-of-array/minimum-stability-factor-of-array_benchmark_v2.py,2.738977384567261,43.7601481,0.9638283,
newv2_CPP_CLEANED_AFTER,cpp,newv2_CPP_CLEANED_AFTER/minimum-time-to-transport-all-individuals/minimum-time-to-transport-all-individuals_solution_benchmark_v2.cpp,0.9326778888702392,13.7425428,0.3459831,
