problem,avg_duration_sec_cpp,avg_duration_sec_python,total_joules_cpp,total_joules_python,energy_gain_pct,runtime_gain_pct
number-of-ways-to-assign-edge-weights-ii,0.0185940504074096,0.4608706474304199,0.24864440000000002,8.037547100000001,96.90646416243085,95.96545136665125
shortest-path-in-a-weighted-tree,0.0110429048538208,0.257965064048767,0.1334773,4.3357557,96.92147553424194,95.71922465759425
find-the-shortest-superstring,0.0370923995971679,0.8662862062454224,0.4254016,13.9508619,96.95071456481122,95.71822807176737
minimum-time-to-transport-all-individuals,0.9326778888702392,26.53340892791748,14.0885259,464.18829519999997,96.9649114280381,96.48489234306827
set-intersection-size-at-least-two,0.0065351486206054,0.1686440467834472,0.0778074,2.6050413,97.01319898459958,96.12488626473898
number-of-integers-with-popcount-depth-equal-to-k-ii,0.0081129312515258,0.2303647518157959,0.11433679999999999,3.8294456,97.01427277097238,96.47822369195916
count-of-smaller-numbers-after-self,0.0055567979812622,0.1796991825103759,0.07662369999999999,2.5788995000000003,97.02882179006977,96.90772217010984
contains-duplicate-iii,0.0071666240692138,0.1982908248901367,0.090637,3.1247051999999997,97.0993423635612,96.38580147458437
trapping-rain-water-ii,0.0126264572143554,0.3318838834762573,0.1470207999999999,5.0745413,97.1027765603169,96.19551962508638
count-of-range-sum,0.0061603784561157,0.1872502088546753,0.0800963,2.7720998,97.11062711378572,96.7100819305912
check-if-dfs-strings-are-palindromes,0.0093124151229858,0.2687639713287353,0.1332211,4.6338324,97.12503412941736,96.53509543078025
shortest-matching-substring,0.0092877149581909,0.2156891345977783,0.1021055,3.5787319,97.14688043549728,95.69393471047542
max-chunks-to-make-sorted-ii,0.00369393825531,0.1227468729019165,0.047485,1.6744526,97.16414785345371,96.99060500037201
find-median-from-data-stream,0.0052318334579467,0.1674330949783325,0.0735898,2.6006586,97.17033985160528,96.87526921805767
number-of-music-playlists,0.0052703857421875,0.1800441741943359,0.0735836,2.6513845000000003,97.2247103352984,97.07272630965623
maximal-rectangle,0.0069901466369628,0.222441554069519,0.09479989999999999,3.4692540000000003,97.26742694538942,96.85753560471072
tag-validator,0.0053844213485717,0.1833800554275512,0.07547620000000001,2.8143178,97.31813514450997,97.06379118709616
median-of-two-sorted-arrays,0.0037716150283813,0.132593297958374,0.049005099999999996,1.8409744,97.33808900330173,97.15550100460933
maximize-subarray-sum-after-removing-all-occurrences-of-one-element,0.0051787614822387,0.1425108194351196,0.0643247,2.4261226000000002,97.3486624295079,96.36605732619732
reaching-points,0.0033759355545043,0.1102324247360229,0.037152,1.4287071,97.39960695932707,96.93743872314452
three-equal-parts,0.0036643028259277,0.1230520725250244,0.0442013,1.7139730000000002,97.42112040271346,97.02215269459805
subtree-inversion-sum,0.0104813814163208,0.3652802228927612,0.1551511,6.055081100000001,97.43767098346542,97.13059159531943
count-different-palindromic-subsequences,0.0167887449264526,0.4521578788757324,0.1927726,7.5328849,97.44091934817696,96.28697282281203
maximize-the-distance-between-points-on-a-square,0.0106645107269287,0.294184947013855,0.1261959999999999,4.9883845,97.47020302865586,96.37489584862192
number-of-digit-one,0.00280122756958,0.1238667488098144,0.0397761,1.5886919,97.49629868447116,97.7385153025361
super-egg-drop,0.0071218967437744,0.2191561222076416,0.0823544,3.3621007,97.55050763351616,96.75030901622421
create-maximum-number,0.0082196235656738,0.2605575561523437,0.1015253999999999,4.1565019,97.55743164702993,96.8453712542238
maximize-spanning-tree-stability-with-upgrades,0.0045246362686157,0.1583993196487426,0.06614969999999999,2.7174675,97.56575929610933,97.14352544022961
